region,country,disease,last_survey_date,reported_case_rate,data_source
Democratic Republic of Congo,Democratic Republic of Congo,Malaria,2024-12-31,321.89,real
Brazil,Brazil,Malaria,2024-12-31,3.75,real
Democratic Republic of Congo,Democratic Republic of Congo,Influenza,2025-11-24,3.0,real
Ethiopia,Ethiopia,Influenza,2026-05-18,2.0,real
Philippines,Philippines,Influenza,2026-05-25,1.0,real
Peru,Peru,Influenza,2026-06-22,15.0,real
Ghana,Ghana,Influenza,2026-06-29,40.0,real
Egypt,Egypt,Influenza,2026-07-06,4.0,real
Nigeria,Nigeria,Influenza,2026-07-06,2.0,real
Kenya,Kenya,Influenza,2026-07-06,1.0,real
Indonesia,Indonesia,Influenza,2026-07-13,9.0,real
Pakistan,Pakistan,Influenza,2026-07-13,1.0,real
South Africa,South Africa,Influenza,2026-07-13,9.0,real
Uganda,Uganda,Influenza,2026-07-13,1.0,real
France,France,Influenza,2026-07-13,7.0,real
United States,United States,Influenza,2026-07-13,126.0,real
Brazil,Brazil,Influenza,2026-07-20,19.0,real
India,India,Influenza,2026-07-20,92.0,real
Mexico,Mexico,Influenza,2026-07-20,10.0,real
Bangladesh,Bangladesh,Influenza,2026-07-20,16.0,real
United Kingdom,United Kingdom,Influenza,2026-07-20,1.0,real
Vietnam,Vietnam,Influenza,2026-07-20,1.0,real
South Africa,South Africa,HIV,2026-07-14,12.5,synthetic
Kenya,Kenya,HIV,2026-06-19,4.2,synthetic
Nigeria,Nigeria,HIV,2026-04-30,1.3,synthetic
Uganda,Uganda,HIV,2026-06-04,5.4,synthetic
Mozambique,Mozambique,HIV,2026-03-26,11.8,synthetic
India,India,HIV,2026-01-15,0.2,synthetic
Brazil,Brazil,HIV,2026-05-20,0.5,synthetic
United States,United States,HIV,2026-07-19,0.4,synthetic
"North Kivu, DRC",Democratic Republic of Congo,Ebola,2026-07-26,340.0,synthetic
"Ituri, DRC",Democratic Republic of Congo,Ebola,2026-07-22,210.0,synthetic
"Kampala, Uganda",Uganda,Ebola,2026-07-24,45.0,synthetic
"Kinshasa, DRC",Democratic Republic of Congo,Ebola,2026-06-24,5.0,synthetic
"Ondo, Nigeria",Nigeria,Lassa fever,2026-07-20,28.0,synthetic
"Bauchi, Nigeria",Nigeria,Lassa fever,2026-07-13,19.0,synthetic
"Edo, Nigeria",Nigeria,Lassa fever,2026-07-16,22.0,synthetic
"Taraba, Nigeria",Nigeria,Lassa fever,2026-06-29,15.0,synthetic
"Benue, Nigeria",Nigeria,Lassa fever,2026-06-14,9.0,synthetic
