region,date,admission_count
Indonesia,2026-07-28,156
Indonesia,2026-07-29,159
Indonesia,2026-07-30,162
Indonesia,2026-07-31,165
Indonesia,2026-08-01,168
Indonesia,2026-08-02,165
India,2026-07-20,152
India,2026-07-21,154
India,2026-07-22,159
India,2026-07-23,161
India,2026-07-24,161
India,2026-07-25,158
India,2026-07-26,159
India,2026-07-27,158
India,2026-07-28,161
India,2026-07-29,163
India,2026-07-30,161
India,2026-07-31,166
India,2026-08-01,162
India,2026-08-02,158
Ghana,2026-07-20,137
Ghana,2026-07-21,135
Ghana,2026-07-22,136
Ghana,2026-07-23,139
Ghana,2026-07-24,142
Ghana,2026-07-25,142
Ghana,2026-07-26,143
Ghana,2026-07-27,146
Ghana,2026-07-28,142
Ghana,2026-07-29,144
Ghana,2026-07-30,147
Ghana,2026-07-31,150
Ghana,2026-08-01,152
Ghana,2026-08-02,152
Ethiopia,2026-07-20,65
Ethiopia,2026-07-21,65
Ethiopia,2026-07-22,64
Ethiopia,2026-07-23,65
Ethiopia,2026-07-24,66
Ethiopia,2026-07-25,66
Ethiopia,2026-07-26,67
Ethiopia,2026-07-27,65
Ethiopia,2026-07-28,64
Ethiopia,2026-07-29,66
Ethiopia,2026-07-30,64
Ethiopia,2026-07-31,64
Ethiopia,2026-08-01,64
Ethiopia,2026-08-02,65
Egypt,2026-07-20,179
Egypt,2026-07-21,185
Egypt,2026-07-22,186
Egypt,2026-07-23,185
Egypt,2026-07-24,185
Egypt,2026-07-25,181
Egypt,2026-07-26,176
Egypt,2026-07-27,181
Egypt,2026-07-28,182
Egypt,2026-07-29,183
Egypt,2026-07-30,187
Egypt,2026-07-31,187
Egypt,2026-08-01,191
Egypt,2026-08-02,195
Democratic Republic of Congo,2026-07-20,72
Democratic Republic of Congo,2026-07-21,71
Democratic Republic of Congo,2026-07-22,71
Democratic Republic of Congo,2026-07-23,72
Democratic Republic of Congo,2026-07-24,71
Democratic Republic of Congo,2026-07-25,71
Democratic Republic of Congo,2026-07-26,73
Democratic Republic of Congo,2026-07-27,71
Democratic Republic of Congo,2026-07-28,72
Democratic Republic of Congo,2026-07-29,73
Democratic Republic of Congo,2026-07-30,74
Democratic Republic of Congo,2026-07-31,76
Democratic Republic of Congo,2026-08-01,76
Democratic Republic of Congo,2026-08-02,77
Brazil,2026-07-20,145
Brazil,2026-07-21,142
Brazil,2026-07-22,142
Brazil,2026-07-23,145
Brazil,2026-07-24,147
Brazil,2026-07-25,148
Brazil,2026-07-26,151
Brazil,2026-07-27,148
Brazil,2026-07-28,144
Brazil,2026-07-29,145
Brazil,2026-07-30,142
Brazil,2026-07-31,138
Brazil,2026-08-01,140
Brazil,2026-08-02,140
Nigeria,2026-07-20,145
Nigeria,2026-07-21,142
Nigeria,2026-07-22,143
Nigeria,2026-07-23,140
Nigeria,2026-07-24,138
Nigeria,2026-07-25,141
Nigeria,2026-07-26,141
Nigeria,2026-07-27,141
Nigeria,2026-07-28,144
Nigeria,2026-07-29,147
Nigeria,2026-07-30,147
Nigeria,2026-07-31,148
Nigeria,2026-08-01,148
Nigeria,2026-08-02,148
Vietnam,2026-07-20,194
Vietnam,2026-07-21,194
Vietnam,2026-07-22,198
Vietnam,2026-07-23,198
Vietnam,2026-07-24,195
Vietnam,2026-07-25,195
Vietnam,2026-07-26,200
Vietnam,2026-07-27,205
Vietnam,2026-07-28,210
Vietnam,2026-07-29,215
Vietnam,2026-07-30,211
Vietnam,2026-07-31,211
Vietnam,2026-08-01,210
Vietnam,2026-08-02,208
Mozambique,2026-07-20,97
Mozambique,2026-07-21,96
Mozambique,2026-07-22,93
Mozambique,2026-07-23,94
Mozambique,2026-07-24,96
Mozambique,2026-07-25,98
Mozambique,2026-07-26,96
Mozambique,2026-07-27,98
Mozambique,2026-07-28,98
Mozambique,2026-07-29,96
Mozambique,2026-07-30,99
Mozambique,2026-07-31,101
Mozambique,2026-08-01,100
Mozambique,2026-08-02,102
"North Kivu, DRC",2026-07-20,128
"North Kivu, DRC",2026-07-21,132
"North Kivu, DRC",2026-07-22,139
"North Kivu, DRC",2026-07-23,144
"North Kivu, DRC",2026-07-24,151
"North Kivu, DRC",2026-07-25,160
"North Kivu, DRC",2026-07-26,167
"North Kivu, DRC",2026-07-27,174
"North Kivu, DRC",2026-07-28,181
"North Kivu, DRC",2026-07-29,187
"North Kivu, DRC",2026-07-30,195
"North Kivu, DRC",2026-07-31,203
"North Kivu, DRC",2026-08-01,212
"North Kivu, DRC",2026-08-02,223
"Ituri, DRC",2026-07-20,123
"Ituri, DRC",2026-07-21,129
"Ituri, DRC",2026-07-22,135
"Ituri, DRC",2026-07-23,139
"Ituri, DRC",2026-07-24,147
"Ituri, DRC",2026-07-25,155
"Ituri, DRC",2026-07-26,164
"Ituri, DRC",2026-07-27,170
"Ituri, DRC",2026-07-28,176
"Ituri, DRC",2026-07-29,182
"Ituri, DRC",2026-07-30,191
"Ituri, DRC",2026-07-31,198
"Ituri, DRC",2026-08-01,205
"Ituri, DRC",2026-08-02,214
"Kampala, Uganda",2026-07-20,197
"Kampala, Uganda",2026-07-21,194
"Kampala, Uganda",2026-07-22,190
"Kampala, Uganda",2026-07-23,195
"Kampala, Uganda",2026-07-24,195
"Kampala, Uganda",2026-07-25,198
"Kampala, Uganda",2026-07-26,193
"Kampala, Uganda",2026-07-27,188
"Kampala, Uganda",2026-07-28,190
"Kampala, Uganda",2026-07-29,189
"Kampala, Uganda",2026-07-30,184
"Kampala, Uganda",2026-07-31,189
"Kampala, Uganda",2026-08-01,191
"Kampala, Uganda",2026-08-02,194
"Kinshasa, DRC",2026-07-20,41
"Kinshasa, DRC",2026-07-21,41
"Kinshasa, DRC",2026-07-22,40
"Kinshasa, DRC",2026-07-23,39
"Kinshasa, DRC",2026-07-24,38
"Kinshasa, DRC",2026-07-25,39
"Kinshasa, DRC",2026-07-26,39
"Kinshasa, DRC",2026-07-27,40
"Kinshasa, DRC",2026-07-28,40
"Kinshasa, DRC",2026-07-29,39
"Kinshasa, DRC",2026-07-30,40
"Kinshasa, DRC",2026-07-31,41
"Kinshasa, DRC",2026-08-01,42
"Kinshasa, DRC",2026-08-02,41
"Ondo, Nigeria",2026-07-20,68
"Ondo, Nigeria",2026-07-21,71
"Ondo, Nigeria",2026-07-22,74
"Ondo, Nigeria",2026-07-23,78
"Ondo, Nigeria",2026-07-24,81
"Ondo, Nigeria",2026-07-25,84
"Ondo, Nigeria",2026-07-26,87
"Ondo, Nigeria",2026-07-27,91
"Ondo, Nigeria",2026-07-28,94
"Ondo, Nigeria",2026-07-29,97
"Ondo, Nigeria",2026-07-30,100
"Ondo, Nigeria",2026-07-31,105
"Ondo, Nigeria",2026-08-01,110
"Ondo, Nigeria",2026-08-02,114
"Bauchi, Nigeria",2026-07-20,146
"Bauchi, Nigeria",2026-07-21,153
"Bauchi, Nigeria",2026-07-22,160
"Bauchi, Nigeria",2026-07-23,168
"Bauchi, Nigeria",2026-07-24,176
"Bauchi, Nigeria",2026-07-25,185
"Bauchi, Nigeria",2026-07-26,195
"Bauchi, Nigeria",2026-07-27,207
"Bauchi, Nigeria",2026-07-28,215
"Bauchi, Nigeria",2026-07-29,223
"Bauchi, Nigeria",2026-07-30,231
"Bauchi, Nigeria",2026-07-31,239
"Bauchi, Nigeria",2026-08-01,253
"Bauchi, Nigeria",2026-08-02,266
"Edo, Nigeria",2026-07-20,57
"Edo, Nigeria",2026-07-21,60
"Edo, Nigeria",2026-07-22,62
"Edo, Nigeria",2026-07-23,64
"Edo, Nigeria",2026-07-24,66
"Edo, Nigeria",2026-07-25,69
"Edo, Nigeria",2026-07-26,72
"Edo, Nigeria",2026-07-27,74
"Edo, Nigeria",2026-07-28,77
"Edo, Nigeria",2026-07-29,81
"Edo, Nigeria",2026-07-30,85
"Edo, Nigeria",2026-07-31,90
"Edo, Nigeria",2026-08-01,93
"Edo, Nigeria",2026-08-02,97
"Taraba, Nigeria",2026-07-20,92
"Taraba, Nigeria",2026-07-21,91
"Taraba, Nigeria",2026-07-22,89
"Taraba, Nigeria",2026-07-23,87
"Taraba, Nigeria",2026-07-24,86
"Taraba, Nigeria",2026-07-25,85
"Taraba, Nigeria",2026-07-26,88
"Taraba, Nigeria",2026-07-27,87
"Taraba, Nigeria",2026-07-28,84
"Taraba, Nigeria",2026-07-29,86
"Taraba, Nigeria",2026-07-30,85
"Taraba, Nigeria",2026-07-31,83
"Taraba, Nigeria",2026-08-01,82
"Taraba, Nigeria",2026-08-02,80
"Benue, Nigeria",2026-07-20,91
"Benue, Nigeria",2026-07-21,89
"Benue, Nigeria",2026-07-22,89
"Benue, Nigeria",2026-07-23,87
"Benue, Nigeria",2026-07-24,86
"Benue, Nigeria",2026-07-25,83
"Benue, Nigeria",2026-07-26,83
"Benue, Nigeria",2026-07-27,81
"Benue, Nigeria",2026-07-28,78
"Benue, Nigeria",2026-07-29,77
"Benue, Nigeria",2026-07-30,76
"Benue, Nigeria",2026-07-31,77
"Benue, Nigeria",2026-08-01,77
"Benue, Nigeria",2026-08-02,78
